video_channelSubscriber,video_viewCount,video_likeCount,video_commentCount,video_num_tag,video_title_len,video_description_len,total_hour_mv_teaser_publish,total_day_mv_published,video_viewCount_mv_official
31100000,351925.0,66416.0,4256.0,19.0,46,971.0,24.00611111111111,17.0,3687378.0
31100000,228344.0,25124.0,601.0,21.0,42,1040.0,24.0025,23.0,895058.0
31100000,1104028.0,174210.0,5337.0,13.0,32,458.0,41.9975,39.0,18365387.0
31100000,105908.0,13371.0,293.0,19.0,63,590.0,24.00583333333333,43.0,682233.0
31100000,404279.0,76742.0,7510.0,8.0,32,469.0,90.00805555555556,47.0,7791115.0
31100000,98689.0,9109.0,199.0,13.0,34,976.0,23.99111111111111,50.0,273268.0
31100000,1803500.0,204871.0,8010.0,42.0,42,680.0,47.995,58.0,83137411.0
31100000,44236.0,4361.0,171.0,13.0,38,514.0,23.995,66.0,115501.0
31100000,278515.0,39430.0,1809.0,10.0,32,413.0,41.99777777777778,74.0,12094891.0
31100000,128258.0,16966.0,750.0,12.0,61,812.0,23.9925,79.0,462299.0
31100000,401847.0,85334.0,2870.0,12.0,55,969.0,24.00583333333333,86.0,6508749.0
31100000,62259.0,4638.0,157.0,7.0,55,584.0,17.995555555555555,93.0,138437.0
31100000,2150315.0,206440.0,8450.0,22.0,47,517.0,17.99972222222222,99.0,49139364.0
31100000,2586735.0,258860.0,12787.0,22.0,47,517.0,42.000277777777775,99.0,49139364.0
31100000,467109.0,82791.0,2088.0,18.0,52,982.0,17.99361111111111,116.0,2421334.0
31100000,515327.0,33991.0,1824.0,9.0,33,407.0,28.83861111111111,117.0,2982800.0
31100000,330626.0,39995.0,2274.0,33.0,39,535.0,30.98611111111111,123.0,16346597.0
31100000,4736833.0,423594.0,23205.0,21.0,27,594.0,37.00083333333333,128.0,109126637.0
31100000,540158.0,56523.0,2734.0,33.0,39,536.0,138.98361111111112,123.0,16346597.0
31100000,163293.0,23047.0,1069.0,7.0,33,959.0,31.995833333333334,130.0,770534.0
31100000,322094.0,38705.0,917.0,19.0,66,605.0,24.008055555555554,134.0,2507659.0
31100000,49259.0,4058.0,79.0,13.0,72,884.0,23.9975,136.0,66801.0
31100000,416897.0,52255.0,3553.0,25.0,41,531.0,48.00611111111111,136.0,4958768.0
31100000,1126980.0,150239.0,4522.0,14.0,53,725.0,24.00583333333333,142.0,50962253.0
31100000,134123.0,28252.0,673.0,32.0,60,950.0,24.101944444444445,144.0,471982.0
31100000,1896674.0,372594.0,10370.0,28.0,36,476.0,41.99722222222222,166.0,70684185.0
31100000,349784.0,28216.0,919.0,9.0,31,542.0,23.99888888888889,173.0,2171291.0
31100000,168787.0,20325.0,836.0,13.0,25,912.0,114.0025,172.0,789191.0
31100000,589227.0,65381.0,2074.0,12.0,23,399.0,41.99111111111111,180.0,7274053.0
31100000,51498.0,8709.0,547.0,13.0,46,531.0,24.0025,193.0,635539.0
31100000,50557.0,8446.0,465.0,13.0,46,531.0,96.00305555555556,193.0,635539.0
31100000,137107.0,11935.0,336.0,9.0,39,912.0,24.005555555555556,198.0,382620.0
31100000,91680.0,13599.0,753.0,13.0,38,515.0,47.99638888888889,204.0,529525.0
31100000,388062.0,72617.0,2015.0,11.0,64,876.0,24.025277777777777,212.0,14211698.0
31100000,300259.0,42885.0,2918.0,11.0,24,410.0,41.99916666666667,215.0,10703033.0
31100000,326700.0,91537.0,6179.0,8.0,26,457.0,23.99888888888889,219.0,2725561.0
31100000,265638.0,65570.0,3774.0,6.0,32,455.0,42.01861111111111,222.0,4760338.0
31100000,294121.0,80470.0,4531.0,12.0,32,455.0,90.02472222222222,222.0,4760338.0
31100000,61408.0,4775.0,281.0,16.0,51,427.0,54.00833333333333,227.0,377641.0
31100000,709806.0,100280.0,2240.0,19.011019283746556,40,434.0,12.001944444444444,230.0,14175974.0
31100000,3406372.0,478610.0,16911.0,29.0,46,499.0,41.99638888888889,229.0,78629102.0
31100000,3966544.0,455259.0,21176.0,18.0,42,645.0,90.10944444444445,236.0,59495857.0
31100000,195445.0,34646.0,975.0,18.0,40,955.0,97.99694444444444,257.0,601157.0
31100000,64091.0,7342.0,611.0,14.0,58,584.0,23.99888888888889,264.0,226962.0
31100000,1494392.0,169944.0,5542.0,9.0,27,708.0,41.99944444444444,271.0,46309853.0
31100000,1174587.0,245920.0,10940.0,18.0,44,1000.0,41.99777777777778,281.0,16208612.0
31100000,71069.0,12450.0,514.0,19.0,43,475.0,126.00583333333333,291.0,801903.0
31100000,107546.0,16371.0,884.0,10.0,43,475.0,174.0063888888889,291.0,801903.0
31100000,1165296.0,126731.0,4129.0,11.0,43,486.0,41.993611111111115,299.0,15362718.0
31100000,121143.0,16163.0,659.0,5.0,35,555.0,18.096944444444443,303.0,13844568.0
31100000,49797.0,5954.0,193.0,10.0,32,395.0,23.99888888888889,304.0,183338.0
31100000,147135.0,11785.0,1523.0,12.0,34,673.0,24.001944444444444,309.0,185737.0
31100000,220985.0,27247.0,482.0,14.0,57,971.0,24.005555555555556,317.0,1401143.0
31100000,1187744.0,69795.0,1182.0,8.0,34,234.0,23.99861111111111,319.0,814832.0
31100000,294477.0,54795.0,2514.0,19.011019283746556,31,413.0,21.008055555555554,326.0,10071735.0
31100000,2378414.0,271253.0,7376.0,29.0,48,912.0,17.994444444444444,327.0,90862140.0
31100000,1433460.0,347564.0,11127.0,58.0,39,588.0,42.00388888888889,333.0,47932677.0
31100000,1625628.0,293133.0,8631.0,57.0,50,579.0,42.001666666666665,337.0,59886763.0
31100000,993272.0,203321.0,11215.0,13.0,26,530.0,42.00083333333333,347.0,44384061.0
31100000,81149.0,6945.0,148.0,20.0,75,803.0,24.00722222222222,351.0,145172.0
31100000,148721.0,14788.0,458.0,11.0,32,486.0,24.005555555555556,367.0,542912.0
31100000,473523.0,51550.0,1613.0,19.011019283746556,48,949.0,24.000833333333333,376.0,1946442.0
31100000,288554.0,34405.0,1240.0,17.0,46,480.0,91.98055555555555,375.0,2312579.0
