video_channelId,video_channelTitle,video_channelSubscriber,video_id,video_title,video_publishedAt,video_description,video_thumbnails,video_tags,video_categoryId,video_viewCount,video_likeCount,video_commentCount,video_duration
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],jYSlpC6Ud2A,"Stray Kids ""CASE 143"" M/V",2022-10-07T03:59:56Z,"Stray Kids(스트레이 키즈) ""CASE 143"" M/V 

💗Listen to ＜MAXIDENT＞ now!
⚡http://Stray-Kids.lnk.to/MAXIDENT 

Stray Kids ""MAXIDENT""
iTunes & Apple Music: https://stray-kids.lnk.to/MAXIDENT/AppleMusic
Spotify: https://stray-kids.lnk.to/MAXIDENT/Spotify

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official TikTok: https://www.tiktok.com/@jypestraykids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈
#CASE143 
#MAXIDENT
#StrayKidsComeback
#YouMakeStrayKidsStay

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/jYSlpC6Ud2A/default.jpg,"['JYP Entertainment', 'JYP', 'Stray Kids', '스트레이 키즈', 'SKZ', '스키즈', '방찬', 'BANG CHAN', '리노', '이민호', 'LEE KNOW', 'MINHO', 'LEEMINHO', '창빈', '서창빈', 'CHANGBIN', 'SEOCHANGBIN', '현진', '황현진', 'HYUNJIN', 'HWANGHYUNJIN', '한', '지성', '한지성', 'HAN', 'JISUNG', 'HANJISUNG', '필릭스', 'FELIX', '승민', '김승민', 'SEUNGMIN', 'KIMSEUNGMIN', '아이엔', '양정인', '정인', 'I.N', 'YANGJEONGIN', 'MAXIDENT', 'CASE 143', '맥시던트', '케이스143', '스키즈 143', '스트레이키즈 143', '스키즈 CASE 143', 'CASE 143 뮤비', 'CASE 143 MV', 'CASE 143 MUSIC VIDEO', 'SKZ MV', 'SKZ MUSIC VIDEO', '스키즈 뮤비', '스트레이키즈 뮤비', '스트레이키즈 뮤직비디오', '스키즈 컴백', '스트레이키즈 컴백', 'STRAY KIDS COMEBACK', 'SKZ COMEBACK']",10,51701920.0,2068074.0,499611.0,PT3M41S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],p1bjnyDqI9k,"NMIXX ""DICE"" M/V",2022-09-19T09:00:23Z,"NMIXX ""DICE"" M/V

NMIXX Official YouTube ▶ https://www.youtube.com/c/NMIXXOfficial
NMIXX Official Twitter ▶ https://twitter.com/NMIXX_official
NMIXX Official Instagram ▶ https://www.instagram.com/nmixx_official/
NMIXX Official Facebook ▶ https://www.facebook.com/NMIXXOfficial/
NMIXX Official Weibo ▶ https://weibo.com/NMIXXOfficial
NMIXX Official Website ▶ https://nmixx.jype.com/
NMIXX Official Fan's ▶ https://fans.jype.com/nmixx
NMIXX Official V LIVE ▶ https://www.vlive.tv/channel/81BFAF
NMIXX Official TikTok ▶ www.tiktok.com/@nmixx_official

ⓒ 2022 JYP Entertainment. All Rights Reserved

#NMIXX #엔믹스
#ENTWURF 
#DICE",https://i.ytimg.com/vi/p1bjnyDqI9k/default.jpg,"['JYP Entertainment', 'JYP', 'NMIXX', '엔믹스', '릴리', 'LILY', 'LILY M', '해원', 'HAEWON', '오해원', '설윤', 'SULLYOON', '설윤아', '지니', 'JINNI', '최윤진', '배이', 'BAE', '배진솔', '지우', 'JIWOO', '김지우', '규진', 'KYUJIN', '장규진', 'JYPn', 'kpop', 'girlgroup', 'ENTWURF', 'DICE']",10,60361668.0,1147945.0,71237.0,PT3M19S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],CGvkwuZjLHo,"Bernard Park ""All day"" M/V",2022-09-06T03:00:07Z,"Bernard Park ""All day"" M/V

Listen to Bernard Park ""All day""
iTunes & Apple Music : http://apple.co/3QfJc5b
Spotify : http://spoti.fi/3euPRvm

Bernard Park Official YouTube: https://youtube.com/c/bernardparkofficial
Bernard Park Official Facebook: https://facebook.com/BernardParkOfficial
Bernard Park Official Twitter: https://twitter.com/Bernard_JYPE
Bernard Park Official Homepage: https://bernardpark.jype.com

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/CGvkwuZjLHo/default.jpg,"['JYP Entertainment', 'JYP', '낙준', 'NakJoon', '버나드박', '버나드 박', 'Bernard Park', 'JYP 버나드박', '박낙준', 'KPOPSTAR', '케이팝스타', 'All Day', '하루종일 부르지', 'To whom it may concern']",10,352825.0,37297.0,1371.0,PT3M45S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],8YDdp5jL1io,BOY STORY 'WW' M/V,2022-09-03T04:00:05Z,"#BOYSTORY #WE #WW

BOY STORY 'WW' M/V

Spotify : https://open.spotify.com/album/3DiYDDlxHEclJaoZ2orfgZ
YouTube Music : https://music.youtube.com/playlist?list=OLAK5uy_nOlr2zICHWpZwRruQuH03Va-Kv8GBEEGw&feature=share
Apple Music：https://music.apple.com/us/artist/boy-story/1274786124

https://www.twitter.com/BOYSTORY_WORLD
https://www.instagram.com/official_boystory
https://weibo.com/boystoryofficial
https://space.bilibili.com/206837580
https://soundcloud.com/boy-story-official",https://i.ytimg.com/vi/8YDdp5jL1io/default.jpg,"['JYP Entertainment', 'JYP', 'NCC', 'TME', 'BOYSTORY', 'HANYU', 'ZIAHO', 'XINLONG', 'MINGRUI', 'ZEYU', 'SHUYANG', '涵予', '梓豪', '鑫隆', '泽宇', '明睿', '书漾', 'IUWE', 'WE', 'REAL', 'GROWING', 'WW', 'howoldru', 'cantstop', 'jumpup', 'hanzup', 'enough', 'foru', 'ohmygosh', 'toobusy', 'if', 'energy', 'introboystory', 'change', 'cookinfoya', 'id', 'bittersweet', 'monster', 'beurself', 'promise', 'allaboutwe', 'hiphop', 'cpop', 'kpop', 'dance', 'performance', 'cover', 'bts', 'straykids', 'workingholiday', 'mv', 'teaser', 'china', 'chinese', 'idol', 'audition', 'qq', 'twice', 'itzy', 'nmixx', 'stage', 'kpopcover', 'bt21', 'b2world', '최연소아이돌', '방탄소년단', 'boygroup', '如果', 'got7', 'wayv', 'tnt', 'txt', 'nct', 'newjeans', 'billboard']",10,977419.0,125407.0,7234.0,PT3M35S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],24vR3evL-Fs,"DAY6 (Even of Day) ""해변의 달링"" M/V",2022-08-30T15:00:01Z,"DAY6 (Even of Day) ""해변의 달링"" M/V

Lyrics by Young K
Composed by Young K, 원필, 홍지상
Arranged by 홍지상
Published by JYP Publishing (KOMCA)

Listen to WONPIL ""Voiceless""
iTunes & Apple Music : http://apple.co/3uwvMur
Spotify : http://spoti.fi/3ssS2mu

DAY6 Official YouTube: http://www.youtube.com/c/DAY6Official
DAY6 Official Facebook: http://www.facebook.com/DAY6Official
DAY6 Official Twitter: http://www.twitter.com/DAY6Official
DAY6 Official Fan's: http://fans.jype.com/DAY6
DAY6 Official Homepage: http://DAY6.jype.com

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/24vR3evL-Fs/default.jpg,"['JYP Entertainment', 'JYP', 'DAY6', '데이식스', 'DAY6 Young K', 'DAY6 Sungjin', 'DAY6 Wonpil', 'DAY6 Dowoon', 'DAY6 영케이', 'DAY6 원필', 'DAY6 도운', '데이식스 Young K', '데이식스 영케이', '데이식스 원필', '데이식스 도운', 'Young K', 'Wonpil', 'Dowoon', '영케이', '성진', '원필', '도운', 'Even of Day', 'EoD']",10,1340874.0,138415.0,7380.0,PT3M58S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],k6jqx9kZgPM,"TWICE ""Talk that Talk"" M/V",2022-08-26T04:00:11Z,"TWICE ""Talk that Talk"" M/V

TWICE 11TH MINI ALBUM ""BETWEEN 1&2""

Released on 2022.08.26 FRI 1PM KST/0AM EST

❣Listen ""BETWEEN 1&2"" HERE👇
https://TWICE.lnk.to/BETWEEN1and2

TWICE Official Shop: https://TWICE.lnk.to/Shop
TWICE Official YouTube: http://www.youtube.com/c/TWICE
TWICE Official Facebook: http://www.facebook.com/JYPETWICE
TWICE Official Twitter: http://www.twitter.com/JYPETWICE
TWICE Official TikTok https://www.tiktok.com/@twice_tiktok_...
TWICE Official Instagram: http://www.instagram.com/TWICETAGRAM
TWICE Official Homepage: http://TWICE.jype.com
TWICE Official Fan's: http://fans.jype.com/TWICE

ⓒ 2022 JYP Entertainment. All Rights Reserved

#TWICE #BETWEEN1and2 #TalkthatTalk",https://i.ytimg.com/vi/k6jqx9kZgPM/default.jpg,"['JYP Entertainment', 'JYP', 'TWICE', '트와이스', '트와이스11TH MINI ALBUM', 'TWICE11THMINIALBUM', '트와이스미니11집', '미니11집', 'TWICE신곡', 'TWICE컴백', '트와이스신곡', '트와이스컴백', 'BETWEEN1and2', '비트윈원앤투', '트와이스비트윈원앤투', 'TWICEBETWEEN1and2', 'TalkthatTalk', '톡댓톡', '트와이스톡댓톡', 'TWICETalkthatTalk', 'TWICE톡댓톡', 'TalkthatTalkTrailer', '톡댓톡트레일러', '톡댓톡하라메', '톡댓톡하이라이트메들리', '톡댓톡전곡듣기', '톡댓톡전곡', '톡댓톡수록곡', 'BETWEEN1and2AlbumSneakPeek', '톡댓톡티저', 'TalkthatTalkM/VTeaser', '톡댓톡티저공개', '트와이스티저', '톡댓톡노래', 'talkthattalkmv', 'talkthattalkmusicvideo', '톡댓톡뮤비', '톡댓톡뮤직비디오', 'talkthattalk', 'ttt', 'talk that talk mv', 'talk that talk music']",10,101977016.0,2743144.0,1393959.0,PT2M55S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],atWpuwRcMoc,"Xdinary Heroes ""Strawberry Cake"" M/V",2022-08-09T09:00:01Z,"Xdinary Heroes ""Strawberry Cake"" M/V

Listen to Xdinary Heroes ""Test Me""
iTunes & Apple Music : http://apple.co/3PwMhOq
Spotify : http://spoti.fi/3OmvD39

Xdinary Heroes Official YouTube: https://www.youtube.com/c/xdinaryheroesofficial
Xdinary Heroes Official Facebook: https://www.facebook.com/XdinaryHeroes/
Xdinary Heroes Official Twitter: https://twitter.com/XH_official
Xdinary Heroes Official Instagram: https://www.instagram.com/xdinaryheroes_official/
Xdinary Heroes Official Fan's: https://fans.jype.com/XdinaryHeroes
Xdinary Heroes Official Homepage: https://xdinaryheroes.jype.com/

#XdinaryHeroes
#WE_ARE_ALL_HEROES

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/atWpuwRcMoc/default.jpg,"['JYP Entertainment', 'JYP', 'Xdinary Heroes', '엑스디너리히어로즈', '건일', 'Gun-il', '정수', 'Jungsu', '가온', 'Gaon', 'O.de', 'Jun Han', '준한', '주연', 'Jooyeon', 'Helloworld!', 'Test Me', 'Strawberry Cake']",10,3646729.0,328430.0,9607.0,PT4M
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],ukIGxgdbqqI,"Stray Kids ""Time Out"" M/V",2022-07-31T14:59:53Z,"Stray Kids(스트레이 키즈) ""Time Out"" M/V 

Stray Kids ""Mixtape : Time Out""
iTunes & Apple Music: https://stray-kids.lnk.to/MixtapeTimeOut/AppleMusic
Spotify: https://stray-kids.lnk.to/MixtapeTimeOut/Spotify

🌊Listen to ＜Mixtape : Time Out＞ now!
✨http://Stray-Kids.lnk.to/MixtapeTimeOut

Stray Kids Official YouTube: https://www.youtube.com/c/StrayKids
Stray Kids Official Facebook: https://www.facebook.com/JYPEStrayKids/
Stray Kids Official Instagram: https://www.instagram.com/realstraykids/
Stray Kids Official Twitter: https://twitter.com/Stray_Kids
Stray Kids Official TikTok: https://www.tiktok.com/@jypestraykids
Stray Kids Official Fan's: https://fans.jype.com/StrayKids

#StrayKids #스트레이키즈 
#TimeOut
#Mixtape_TimeOut
#YouMakeStrayKidsStay 

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/ukIGxgdbqqI/default.jpg,"['JYP Entertainment', 'JYP']",10,9287472.0,1025447.0,168021.0,PT4M12S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],CL6wr7jozs8,"Xdinary Heroes ""Test Me"" M/V",2022-07-20T09:00:10Z,"Xdinary Heroes ""Test Me"" M/V

Listen to Xdinary Heroes ""Test Me""
iTunes & Apple Music : http://apple.co/3PwMhOq
Spotify : http://spoti.fi/3OmvD39

Xdinary Heroes Official YouTube: https://www.youtube.com/c/xdinaryheroesofficial
Xdinary Heroes Official Facebook: https://www.facebook.com/XdinaryHeroes/
Xdinary Heroes Official Twitter: https://twitter.com/XH_official
Xdinary Heroes Official Instagram: https://www.instagram.com/xdinaryheroes_official/
Xdinary Heroes Official Fan's: https://fans.jype.com/XdinaryHeroes
Xdinary Heroes Official Homepage: https://xdinaryheroes.jype.com/

#XdinaryHeroes
#WE_ARE_ALL_HEROES

Copyrights 2022 ⓒ JYP Entertainment. All Rights Reserved.",https://i.ytimg.com/vi/CL6wr7jozs8/default.jpg,"['JYP Entertainment', 'JYP', 'Xdinary Heroes', '엑스디너리히어로즈', '건일', 'Gun-il', '정수', 'Jungsu', '가온', 'Gaon', 'O.de', 'Jun Han', '준한', '주연', 'Jooyeon', 'Helloworld!', 'Test Me']",10,3748410.0,465255.0,22114.0,PT3M57S
UCaO6TYtlC8U5ttz62hTrZgg,JYP Entertainment,[25900000],IN7WgihC8Fs,NiziU(니쥬) 3rd Single「CLAP CLAP」M/V,2022-07-12T15:00:25Z,"NiziU 3rd Single 
「CLAP CLAP」 Digital Release  
🎧https://NiziU.lnk.to/CLAP_CLAP

NiziU Official Homepage: https://niziu.com/ 
NiziU Official YouTube: https://www.youtube.com/c/NiziUOfficial 
NiziU Official Facebook: https://www.facebook.com/NiziUinfoofficial 
NiziU Official Twitter: https://twitter.com/NiziU__official 
NiziU Official Instagram: https://www.instagram.com/niziu_info_official/ 
NiziU Official Artist Instagram: https://www.instagram.com/niziu_artist_official/ 
NiziU Official TikTok: https://www.tiktok.com/@niziu_official 
NiziU Official FANCLUB “WithU”: https://fc.niziu.com 
NiziU Official FANCLUB “WithU MOBILE”: https://m.niziu.com 

#NiziU #ニジュー #니쥬 #WithU #CLAP_CLAP 
Copyrights ©2022 JYP Entertainment Japan./ Sony Music Entertainment (Japan) Inc. All rights reserved.",https://i.ytimg.com/vi/IN7WgihC8Fs/default.jpg,"['JYP Entertainment', 'JYP', 'Make you happy', 'Step and a step', 'Sony', 'JYP nation', 'MV', 'M/V', '니쥬', 'needyou', 'ニジュー', 'NiziU', '마야', '마코', '리마', '리오', '미이히', '마유카', '아야카', '니나', '리쿠', 'maya', 'mako', 'rima', 'miihi', 'mayuka', 'rio', 'ayaka', 'nina', 'riku', 'アイドル', 'マヤ', 'マコ', 'リマ', 'リオ', 'ミイヒ', 'マユカ', 'アヤか', 'ニナ', 'リク', 'JYPさん', 'NiziU music video', 'girl group', 'k-pop', 'j-pop', 'CLAP CLAP', 'clap clap', 'NiziU CLAP CLAP']",10,21350810.0,271872.0,76675.0,PT2M45S
