video_channelId,video_channelTitle,video_channelSubscriber,video_id,video_title,video_publishedAt,video_description,video_thumbnails,video_tags,video_categoryId,video_viewCount,video_likeCount,video_commentCount,video_duration_teaser,video_id_mv_official,video_title_mv_official,video_publishedAt_mv_official,video_duration_mv_official,video_viewCount_mv_official,total_day_mv_published
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,ASTklj0bfF8,SECHSKIES - 'ALL FOR YOU' M/V TEASER,2020-01-23 07:00:00+00:00,#SECHSKIES #젝스키스 #THE1STMINIALBUM #ALLFORYOU #MVTEASER #20200128_6PM #YG,https://i.ytimg.com/vi/ASTklj0bfF8/default.jpg,"['YG Entertainment', 'YG', '와이지', 'K-pop', '젝스키스', '젝키', 'SECHSKIES', '은지원', '장수원', '이재진', '김재덕', 'Jang Suwon', 'Eun Jiwon', 'Lee Jaijin', 'Kim Jaeduck', 'ALL FOR YOU', '젝키 ALL FOR YOU', '젝스키스 ALL FOR YOU', 'SECHSKIES ALL FOR YOU', '올포유', '젝키 올포유', '젝키 컴백']",10,83827.0,10210.0,495.0,PT36S,X-jbgKPEf40,SECHSKIES - 'ALL FOR YOU' M/V,2020-01-28 09:00:10+00:00,PT4M11S,9071575.0,1019.0
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,9aDxjTXRyGw,EUN JIWON(은지원) - ‘불나방 (I’M ON FIRE) (Feat. Blue.D)’ M/V TEASER,2019-06-25 01:00:01+00:00,#EUNJIWON #은지원 #G1 #불나방 #ImOnFire #YG,https://i.ytimg.com/vi/9aDxjTXRyGw/default.jpg,"['젝스키스', '젝키', 'SECHSKIES', '은지원', 'EUN JIWON', '불나방', 'I’M ON FIRE', 'Blue.D', '은지원 솔로', '은지원 불나방', 'G1']",10,159643.0,14684.0,893.0,PT32S,iR7HsIrFqoU,EUN JIWON(은지원) - '불나방 (I’M ON FIRE) (Feat. Blue.D)' M/V,2019-06-27 09:00:06+00:00,PT3M40S,13197512.0,1234.0
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,EuWyOcvZ0Ac,SECHSKIES - ‘웃어줘(SMILE)’ M/V TEASER,2017-09-20 07:00:00+00:00,"#SECHSKIES #젝스키스 #젝키 #ANOTHERLIGHT #웃어줘 #SMILE #MV #TEASER #20170921 #6PM #5THFULLALBUM #NEWRELEASE #YG

More about SECHSKIES @ 
https://www.youtube.com/c/officialsechskies
https://www.facebook.com/OfficialSECHSKIES/
http://www.twitter.com/ygent_official
http://yg-sechskies.com",https://i.ytimg.com/vi/EuWyOcvZ0Ac/default.jpg,"['젝스키스', '젝키', 'SECHSKIES', '은지원', '장수원', '강성훈', '이재진', '김재덕', 'ANOTHERLIGHT', '웃어줘', 'SMILE', 'SOMETHINGSPECIAL', '5THFULLALBUM']",10,45858.0,4241.0,268.0,PT31S,eijTpIN6tsA,SECHSKIES - ‘웃어줘(SMILE)’ M/V,2017-09-21 09:00:03+00:00,PT3M52S,1020612.0,1878.0
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,XL3EWBlu0k4,SECHSKIES - ‘특별해(SOMETHING SPECIAL)’ M/V TEASER,2017-09-20 01:00:00+00:00,"#SECHSKIES #젝스키스 #젝키 #ANOTHERLIGHT #특별해 #SOMETHINGSPECIAL #MV #TEASER #20170921 #6PM #5THFULLALBUM #NEWRELEASE #YG

More about SECHSKIES @ 
https://www.youtube.com/c/officialsechskies
https://www.facebook.com/OfficialSECHSKIES/
http://www.twitter.com/ygent_official
http://yg-sechskies.com",https://i.ytimg.com/vi/XL3EWBlu0k4/default.jpg,"['젝스키스', '젝키', 'SECHSKIES', '은지원', '장수원', '강성훈', '이재진', '김재덕', 'ANOTHERLIGHT', '특별해', 'SOMETHINGSPECIAL', '5THFULLALBUM']",10,74231.0,5770.0,475.0,PT15S,MEaZkhrHOsE,SECHSKIES - ‘특별해(SOMETHING SPECIAL)’ M/V,2017-09-21 15:00:02+00:00,PT3M21S,6962568.0,1878.0
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,pIVplcbmQfk,SECHSKIES - '아프지 마요(BE WELL)' M/V TEASER,2017-04-27 01:00:02+00:00,"#SECHSKIES #젝스키스 #젝키 #THE20THANNIVERSARY #아프지마요 #BEWELL #MV #TEASER #NEWALBUM #RELEASE #20170428 #6PM #YG

More about SECHSKIES @ 
https://www.youtube.com/c/officialsechskies
https://www.facebook.com/OfficialSECHSKIES/
http://www.twitter.com/ygent_official
http://yg-sechskies.com",https://i.ytimg.com/vi/pIVplcbmQfk/default.jpg,"['젝스키스', '젝키', 'SECHSKIES', '은지원', '장수원', '강성훈', '이재진', '김재덕', 'COMEBACK', '컴백', '슬픈노래', 'SAD SONG']",10,96098.0,5467.0,396.0,PT17S,ZYwXHV5-x6w,SECHSKIES - ‘아프지 마요 (BE WELL)’ M/V,2017-04-28 09:00:05+00:00,PT4M21S,4147745.0,2024.0
UCcADqTjMyMol8B8mWm9n6rA,SECHSKIES,545000,yBXWbfl0fkg,SECHSKIES - '슬픈 노래(SAD SONG)' M/V TEASER,2017-04-26 01:00:04+00:00,"#SECHSKIES #젝스키스 #젝키 #THE20THANNIVERSARY #슬픈노래 #SADSONG #MV #TEASER #NEWALBUM #RELEASE #20170428 #6PM #YG

More about SECHSKIES @ 
https://www.youtube.com/c/officialsechskies
https://www.facebook.com/OfficialSECHSKIES/
http://www.twitter.com/ygent_official
http://yg-sechskies.com",https://i.ytimg.com/vi/yBXWbfl0fkg/default.jpg,"['젝스키스', '젝키', 'SECHSKIES', '은지원', '장수원', '강성훈', '이재진', '김재덕', '컴백', 'COMEBACK']",10,157450.0,9085.0,865.0,PT38S,iTt9rS2RH-o,SECHSKIES - ‘슬픈 노래 (SAD SONG)’ M/V,2017-04-28 09:00:03+00:00,PT3M31S,2490464.0,2024.0
UCWxCyZibDIWIrGIgP25mbfw,iKON,8750000,gWObHXG9Ikg,iKON - '너라는 이유 (BUT YOU)' M/V TEASER,2022-04-26 15:00:32+00:00,#iKON #아이콘 #4thMINIALBUM #FLASHBACK #TITLE #너라는이유 #BUTYOU #MV_TEASER #RELEASE #20220503_6PM #YG,https://i.ytimg.com/vi/gWObHXG9Ikg/default.jpg,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'iKON', '아이콘', '김진환', '송윤형', 'BOBBY', '김동혁', '구준회', '정찬우', 'iKONIC', 'YUNHYEONG', 'DONGHYUK', 'DK', 'JAY', 'JINHWAN', 'CHANWOO', 'JU-NE', 'iKON ON AIR', '아이콘 온에어']",10,865917.0,138831.0,12177.0,PT26S,r5n1GCY-nYQ,iKON - '너라는 이유 (BUT YOU)' M/V,2022-05-03 09:06:30+00:00,PT3M44S,18637279.0,193.0
UCWxCyZibDIWIrGIgP25mbfw,iKON,8750000,8Mz95do8bD4,iKON - ‘왜왜왜 (Why Why Why)’ M/V TEASER,2021-02-28 15:00:03+00:00,#iKON #아이콘 #DIGITAL_SINGLE #왜왜왜 #WHYWHYWHY #MV_TEASER #JAY #진환 #BOBBY #바비 #SONG #윤형 #JU_NE #준회 #DK #동혁 #CHAN #찬우 #20210303_6PM #YG,https://i.ytimg.com/vi/8Mz95do8bD4/default.jpg,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'iKON', '아이콘', '김진환', '송윤형', 'BOBBY', '김동혁', '구준회', '정찬우', 'Jinhwan', 'Yunhyeong', 'Donghyuk', 'Ju-ne', 'Chanwoo', 'iKONIC', '아이콘 왜왜왜', 'iKON Why Why Why', 'iKON 왜왜왜', '왜왜왜', 'Why Why Why', '아이콘 Why Why Why']",10,1020934.0,178337.0,11531.0,PT23S,DslHQto2V7I,iKON - ‘왜왜왜 (Why Why Why)’ M/V,2021-03-03 09:00:17+00:00,PT3M42S,32132480.0,619.0
UCWxCyZibDIWIrGIgP25mbfw,iKON,8750000,Pavykdq85o0,BOBBY - '야 우냐 (U MAD)' M/V TEASER #2,2021-01-22 15:00:08+00:00,#BOBBY #바비 #iKON #아이콘 #2ndFULLALBUM #LUCKYMAN #TITLE #야우냐 #U_MAD #MV_TEASER #20210125_6PM #YG,https://i.ytimg.com/vi/Pavykdq85o0/default.jpg,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'iKON', '아이콘', '김진환', '송윤형', 'BOBBY', '김동혁', '구준회', '정찬우', 'Jinhwan', 'Yunhyeong', 'Donghyuk', 'Ju-ne', 'Chanwoo', 'iKONIC', 'i DECIDE', '아이콘 i DECIDE', 'iKON i DECIDE', 'iKON 뛰어들게', '아이콘 뛰어들게', '뛰어들게', 'DIVE', 'iKON DIVE', 'BOBBY LUCKY MAN', 'BOBBY 야 우냐', 'BOBBY U MAD', '바비 야 우냐', '바비 U MAD', '바비 LUCKY MAN', '야 우냐', 'U MAD']",10,509155.0,94883.0,3748.0,PT22S,DGXbNENEpwM,BOBBY - '야 우냐 (U MAD)' M/V,2021-01-25 09:00:19+00:00,PT3M4S,10382315.0,656.0
UCWxCyZibDIWIrGIgP25mbfw,iKON,8750000,l8lbqWgByyw,BOBBY - '야 우냐 (U MAD)' M/V TEASER #1,2021-01-21 15:00:15+00:00,#BOBBY #바비 #iKON #아이콘 #2ndFULLALBUM #LUCKYMAN #TITLE #야우냐 #U_MAD #MV_TEASER #20210125_6PM #YG,https://i.ytimg.com/vi/l8lbqWgByyw/default.jpg,"['YG Entertainment', 'YG', '와이지', 'K-pop', 'iKON', '아이콘', '김진환', '송윤형', 'BOBBY', '김동혁', '구준회', '정찬우', 'Jinhwan', 'Yunhyeong', 'Donghyuk', 'Ju-ne', 'Chanwoo', 'iKONIC', 'i DECIDE', '아이콘 i DECIDE', 'iKON i DECIDE', 'iKON 뛰어들게', '아이콘 뛰어들게', '뛰어들게', 'DIVE', 'iKON DIVE', 'BOBBY U MAD', 'BOBBY 야 우냐', '야 우나', 'U MAD', '바비 야 우냐', '바비 U MAD']",10,657721.0,129899.0,7058.0,PT21S,DGXbNENEpwM,BOBBY - '야 우냐 (U MAD)' M/V,2021-01-25 09:00:19+00:00,PT3M4S,10382315.0,656.0
